index,node,level,parents,params,res_gdw_id,res_inflow_flag,res_outflow_flag,res_within_flag
409,420551341,1,31;32,210000.0;750.0;0.46;1.19
410,420550309,1,36;37,59000.0;302.0;0.45;1.18
411,420549907,1,38;39,204000.0;792.0;0.45;1.19
412,420549908,1,50;51,132000.0;421.0;0.44;1.15
413,420549516,1,54;55,132000.0;492.0;0.46;1.15
414,420546415,1,58;60;62,59000.0;188.0;0.47;1.2
415,420547232,1,67;68,99000.0;354.0;0.45;1.15
416,420546823,1,69;70,14000.0;117.0;0.45;1.18
417,420544166,1,76;78,145000.0;350.0;0.45;1.16
418,420545156,1,40;81,14000.0;93.0;0.46;1.21
419,420544361,1,80;84,46000.0;233.0;0.46;1.21
420,420544165,1,82;85,197000.0;654.0;0.46;1.21
421,420541923,1,92;94,269000.0;608.0;0.45;1.16
422,420540917,1,95;96,151000.0;608.0;0.46;1.14
423,420544729,1,97;98,341000.0;864.0;0.47;1.21
424,420543145,1,100;101,177000.0;630.0;0.46;1.16
425,420544736,1,103;104,190000.0;542.0;0.46;1.21
426,420539252,1,118;119,112000.0;397.0;0.46;1.21
427,420537373,1,123;124,223000.0;654.0;0.46;1.19
428,420543556,1,133;134,53000.0;186.0;0.46;1.22
429,420539880,1,141;143,262000.0;375.0;0.47;1.2
430,420535930,1,147;148,14000.0;117.0;0.46;1.23
431,420537157,1,149;150,105000.0;350.0;0.46;1.18
432,420539664,1,151;153,66000.0;326.0;0.45;1.19
433,420541925,1,157;158,204000.0;701.0;0.45;1.17
434,420540717,1,160;161,118000.0;373.0;0.45;1.22
435,420536767,1,175;176,171000.0;117.0;0.48;1.19
436,420534931,1,204;205,125000.0;421.0;0.46;1.19
437,420534523,1,206;207,79000.0;326.0;0.46;1.44
438,420533707,1,211;215,14000.0;71.0;0.46;1.19
439,420532527,1,217;218,86000.0;326.0;0.47;1.19
440,420533705,1,210;219,321000.0;562.0;0.46;1.21
441,420530054,1,226;227,177000.0;696.0;0.48;1.24
442,420529852,1,225;228,295000.0;583.0;0.47;1.23
443,420559602,1,239;240,53000.0;213.0;0.45;1.16
444,420558550,1,229;241,59000.0;234.0;0.46;1.27
445,420559599,1,246;247,27000.0;117.0;0.45;1.16
446,420552145,1,45;253;254,138000.0;537.0;0.44;1.15
447,420550315,1,255;256,190000.0;588.0;0.45;1.14
448,420557048,1,232;259,27000.0;117.0;0.46;1.21
449,420553826,1,260;261,230000.0;791.0;0.45;1.15
450,420554050,1,262;263,177000.0;421.0;0.49;1.18
451,420554051,1,267;268,79000.0;234.0;0.5;1.19
452,420551347,1,272;273,112000.0;400.0;0.49;1.17
453,420556004,1,266;276,46000.0;326.0;0.46;1.26
454,420553013,1,286;288,73000.0;559.0;0.45;1.18
455,420551957,1,299;300,79000.0;302.0;0.48;1.19
456,420551954,1,303;304,14000.0;93.0;0.45;1.43
457,420552361,1,301;302;305,118000.0;446.0;0.5;1.19
458,420551531,1,307;308,20000.0;117.0;0.45;1.4
459,420550101,1,309;311,40000.0;234.0;0.45;1.14
460,420549914,1,318;320,132000.0;375.0;0.48;1.19
461,420549720,1,319;322,125000.0;425.0;0.47;1.15
462,420549142,1,321;324,7000.0;117.0;0.47;1.18
463,420548712,1,334;335,40000.0;234.0;0.44;1.37
464,420545990,1,341;342,171000.0;535.0;0.45;1.18
465,420544365,1,343;344,466000.0;1008.0;0.46;1.17
466,420548069,1,345;346,59000.0;188.0;0.48;1.16
467,420547036,1,347;348,164000.0;350.0;0.49;1.18
468,420545385,1,349;353,158000.0;421.0;0.49;1.17
469,420545384,1,354;355,118000.0;489.0;0.47;1.18
470,420548264,1,358;359,86000.0;210.0;0.44;1.18
471,420544964,1,368;369,99000.0;419.0;0.45;1.17
472,420544740,1,370;371,7000.0;117.0;0.45;1.16
473,420544167,1,77;372,86000.0;326.0;0.46;1.16
474,420547032,1,378;379,14000.0;93.0;0.44;1.19
475,420546220,1,340;382,27000.0;117.0;0.44;1.19
476,420545160,1,383;384,204000.0;443.0;0.46;1.2
477,420544170,1,386;387,112000.0;397.0;0.44;1.2
478,420546828,1,391;392,14000.0;117.0;0.45;1.21
479,420545165,1,356;396,79000.0;278.0;0.47;1.17
480,420543560,1,399;400,511000.0;1145.0;0.47;1.21
481,420543562,1,401;402,151000.0;443.0;0.46;1.17
482,420551946,2,404;4,361000.0;750.0;0.47;1.16
483,420552358,2,407;27,734000.0;1308.0;0.47;1.17
484,420551142,2,34;410;35,27000.0;210.0;0.46;1.15
485,420551522,2,409;411,40000.0;117.0;0.48;1.18
486,420550920,2,48;412,7000.0;117.0;0.45;1.16
487,420549336,2,413;9,217000.0;562.0;0.47;1.16
488,420546416,2,57;414,125000.0;492.0;0.47;1.21
489,420547027,2,66;415,171000.0;350.0;0.47;1.16
490,420544738,2,75;417,302000.0;795.0;0.47;1.16
491,420543770,2,418;41,164000.0;720.0;0.47;1.22
492,420543968,2,420;86,33000.0;142.0;0.48;1.22
493,420541924,2,421;91,131000.0;492.0;0.46;1.15
494,420544535,2,423;99,20000.0;117.0;0.49;1.19
495,420544737,2,102;425,14000.0;117.0;0.47;1.22
496,420542935,2,132;428,66000.0;233.0;0.47;1.22
497,420540507,2,429;144,59000.0;259.0;0.47;1.19
498,420536149,2,145;430,184000.0;491.0;0.47;1.21
499,420541926,2,433;140,14000.0;71.0;0.45;1.17
500,420541726,2,434;159,230000.0;584.0;0.47;1.21
501,420538386,2,435;174,73000.0;233.0;0.48;1.21
502,420535535,2,436;202,14000.0;93.0;0.47;1.19
503,420535141,2,203;437,59000.0;326.0;0.46;1.26
504,420533288,2,212;438,40000.0;142.0;0.46;1.19
505,420533110,2,216;439,40000.0;186.0;0.48;1.2
506,420533895,2,129;440,249000.0;304.0;0.47;1.22
507,420530257,2,224;442,216000.0;421.0;0.48;1.25
508,420559601,2,238;443,14000.0;71.0;0.46;1.16
509,420558335,2,444;243,14000.0;117.0;0.46;1.17
510,420553012,2,446;251,40000.0;210.0;0.45;1.15
